"Gene_ID","Cahn_Methylation_status","Bewick_Classification","Both_gbM","Both_TE_like","H2AZ_Depleted","H2AZ_Enriched"
"AT1G01010",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01020","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01030","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01040","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01050","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01060","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01070","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01073",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01080","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01090","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01100","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01110","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01115",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01120","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01130","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01140","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01150","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01160","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01170","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01180",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01190","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01200","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01210","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01220","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01225","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01230","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01240","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01250","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01260","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01280","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01290","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01300","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01305","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01310","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01320","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G01335","Unmethylated",NA,NA,NA,NA,NA
"AT1G01340","gbM","Unmethylated",FALSE,FALSE,NA,NA
