gene_ID,Methylation_status
AT1G01040,gbM
AT1G01050,gbM
AT1G01060,gbM
AT1G01150,gbM
AT1G01220,gbM
AT1G01230,gbM
AT1G01260,gbM
AT1G01320,gbM
AT1G01340,gbM
AT1G01350,gbM
AT1G01440,gbM
AT1G01450,gbM
AT1G01510,gbM
AT1G01540,gbM
AT1G01650,gbM
AT1G01660,gbM
AT1G01670,gbM
AT1G01680,gbM
AT1G01690,gbM
AT1G01710,gbM
AT1G01750,gbM
AT1G01760,gbM
AT1G01770,gbM
AT1G01790,gbM
AT1G01820,gbM
AT1G01880,gbM
AT1G01910,gbM
AT1G01920,gbM
AT1G01930,gbM
AT1G01950,gbM
AT1G01960,gbM
AT1G01970,gbM
AT1G02010,gbM
AT1G02050,gbM
AT1G02080,gbM
AT1G02100,gbM
AT1G02110,gbM
AT1G02120,gbM
AT1G02145,gbM
AT1G02260,gbM
AT1G02270,gbM
AT1G02280,gbM
AT1G02290,gbM
AT1G02305,gbM
AT1G02330,gbM
AT1G02410,gbM
AT1G02420,gbM
AT1G02430,gbM
AT1G02500,gbM
AT1G02520,gbM
AT1G02530,gbM
AT1G02560,gbM
AT1G02660,gbM
AT1G02670,gbM
AT1G02690,gbM
AT1G02750,gbM
AT1G02840,gbM
AT1G02870,gbM
AT1G02890,gbM
AT1G02910,gbM
AT1G02960,gbM
AT1G02970,gbM
AT1G02990,gbM
AT1G03000,gbM
AT1G03030,gbM
AT1G03060,gbM
AT1G03090,gbM
AT1G03100,gbM
AT1G03110,gbM
AT1G03160,gbM
AT1G03180,gbM
AT1G03190,gbM
AT1G03210,gbM
AT1G03260,gbM
AT1G03270,gbM
AT1G03280,gbM
AT1G03290,gbM
AT1G03300,gbM
AT1G03310,gbM
AT1G03360,gbM
AT1G03365,gbM
AT1G03370,gbM
AT1G03380,gbM
AT1G03457,gbM
AT1G03475,gbM
AT1G03495,gbM
AT1G03510,gbM
AT1G03520,gbM
AT1G03530,gbM
AT1G03540,gbM
AT1G03550,gbM
AT1G03560,gbM
AT1G03687,gbM
AT1G03740,gbM
AT1G03750,gbM
AT1G03770,gbM
AT1G03830,gbM
AT1G03860,gbM
AT1G03900,gbM
AT1G03905,gbM
AT1G03910,gbM
AT1G03930,gbM
AT1G03940,gbM
AT1G03960,gbM
AT1G04010,gbM
AT1G04020,gbM
AT1G04030,gbM
AT1G04050,gbM
AT1G04080,gbM
AT1G04110,gbM
AT1G04120,gbM
AT1G04130,gbM
AT1G04140,gbM
AT1G04160,gbM
AT1G04170,gbM
AT1G04190,gbM
AT1G04200,gbM
AT1G04210,gbM
AT1G04230,gbM
AT1G04300,gbM
AT1G04310,gbM
