Gene,Classification,Percent CG Methylation,Percent CHG Methylation,Percent CHH Methylation
AT1G01040.2,gbM,69.11357341,0.535475234,0.401764613
AT1G01220.1,gbM,47.06430569,0.562746201,0.449505544
AT1G01320.1,gbM,51.02811582,0.334276164,0.434936979
AT1G01350.1,gbM,72.83372365,1.526717557,0.506970849
AT1G01440.1,gbM,63.5734072,0.275482094,0.245164805
AT1G01650.1,gbM,41.72274563,0.27700831,0.546149645
AT1G01660.1,gbM,33.04562269,0.212765957,0.445434298
AT1G01670.1,gbM,56.44444444,1.158940397,0.505050505
AT1G01710.1,gbM,32.93807642,0.357142857,0.280997541
AT1G01770.1,gbM,36.25,0.278293135,0.371853547
AT1G01790.1,gbM,32.02134757,0.613079019,0.488358887
AT1G01910.1,gbM,48.97260274,0.512820513,0.669642857
AT1G01950.3,gbM,53.1154239,0.453074434,0.534188034
AT1G01960.1,gbM,51.05601469,0.637127136,0.714948932
AT1G01970.1,gbM,43.51395731,0.14619883,0.45231813
AT1G02010.1,gbM,46.64484452,0.594844679,0.389311626
AT1G02050.1,gbM,47.2,0.807537012,0.479386385
AT1G02080.1,gbM,56.80395387,0.411793774,0.467526615
AT1G02145.3,gbM,36.43178411,0.298507463,0.517993457
AT1G02280.1,gbM,54.74254743,0.278551532,0.569620253
AT1G02520.1,gbM,27.36030829,0.669642857,0.549450549
AT1G02840.1,gbM,52.39923225,0.23255814,0.490998363
AT1G02890.1,gbM,59.82192543,0.472999606,0.396686501
AT1G02910.1,gbM,61.05947955,0.19138756,0.326690624
AT1G02990.3,gbM,63.41019417,0.44411547,0.568720379
AT1G03000.1,gbM,49.88558352,0.690607735,0.412654746
AT1G03060.1,gbM,68.87966805,0.611864858,0.54200542
AT1G03090.2,gbM,36.40973631,0.399680256,0.572033898
AT1G03100.1,gbM,58.3090379,0.779220779,0.534351145
AT1G03160.1,gbM,37.99877225,0.101265823,0.464700626
AT1G03190.1,gbM,46.06365159,0.3417635,0.578034682
