"gene","variance.standardized","is_hvg","is_responsive","responsive_cell_type","responsive_avg_log2FC","median_within_celltype_cv2","num_celltypes_expressed","cahn_group","bewick_group","h2az_group"
"AT1G43790",31.8158434323861,TRUE,TRUE,"protoxylem ERS-",7.87845928096057,1.26104971224694,2,"Unmethylated","Unmethylated","Other"
"AT4G34970",29.6597498425437,TRUE,TRUE,"columella",9.28126955129585,9.59551584469325,2,"Unmethylated","Unmethylated","Other"
"AT4G31840",28.1097663227908,TRUE,TRUE,"epidermis early",3.5083728350882,27.704727786822,1,"Unmethylated","Unmethylated","Other"
"AT2G36100",25.3411602874279,TRUE,TRUE,"endodermis ERS-",6.98885299110538,23.2693126914347,14,"Unmethylated","Unmethylated","Other"
"AT5G48920",24.9627319227933,TRUE,TRUE,"protoxylem ERS-",7.40573611857094,1.31809184512012,2,"Unmethylated","Unmethylated","Other"
"AT1G30750",24.3332189953803,TRUE,TRUE,"endodermis ERS-",7.00178559214869,9.59090057059183,2,"Unmethylated","Unmethylated","Other"
"AT3G24020",23.9440430146244,TRUE,TRUE,"endodermis ERS-",6.85371337306584,9.28275593561877,2,"gbM","Unmethylated","Other"
"AT1G13620",23.5124594051654,TRUE,TRUE,"columella",9.83955222676197,6.06823965131812,1,"Unmethylated","Unmethylated","Other"
"AT5G23660",23.0253679460994,TRUE,TRUE,"ppp ERS+",6.85801182955311,16.2307627289681,2,"TE-like","TE-like","H2A.Z-Enriched"
"AT2G45220",22.212904824911,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT5G16250",22.0456636390375,TRUE,TRUE,"epidermis early",2.14902533809128,20.8595031536045,1,"Unmethylated","Unmethylated","Other"
"AT2G31081",22.0082752112597,TRUE,TRUE,"ppp ERS+",6.02142358481353,9.61777583881416,2,"gbM","Unmethylated","Other"
"AT4G26010",21.523725026053,TRUE,TRUE,"hair cells ERS-",6.40896652465658,5.30852757298546,3,"Unmethylated","Unmethylated","Other"
"AT1G51035",21.2341652565778,TRUE,TRUE,"border cells",5.57728984428968,19.4389923163116,2,"Unmethylated","Unmethylated","Other"
"AT2G28670",21.066160820923,TRUE,TRUE,"endodermis ERS-",6.42555428234864,14.227062810764,9,"Unmethylated","Unmethylated","Other"
"AT2G25060",20.55264590296,TRUE,TRUE,"epidermis early",4.44559893308955,28.9538507416803,1,"Unmethylated","Unmethylated","Other"
"AT1G07610",20.4551332197967,TRUE,TRUE,"hair cells ERS+",3.72984268021143,9.46553610362929,27,"Unmethylated","Unmethylated","Other"
"AT1G65570",20.3760749350729,TRUE,TRUE,"border cells",10.4213674408137,9.17075104197963,3,"Unmethylated","Unmethylated","Other"
"AT5G15290",19.9215561192753,TRUE,TRUE,"endodermis ERS-",6.35458086174517,16.0165902954592,5,"Unmethylated","Unmethylated","Other"
"AT5G51890",19.8140385205061,TRUE,TRUE,"protoxylem ERS-",7.35270393688404,4.89661570753045,5,"gbM","gbM","Other"
"AT3G11550",19.7526461539614,TRUE,TRUE,"endodermis ERS-",7.79568237143534,12.3416733521965,2,"Unmethylated","Unmethylated","Other"
"AT1G02335",19.6198136259551,TRUE,TRUE,"protoxylem ERS-",8.36253436589927,0.791781225484943,2,"Unmethylated","Unmethylated","Other"
"AT3G48740",18.9622997735878,TRUE,TRUE,"ppp ERS+",4.88891729104768,12.7744515700287,2,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT1G54575",18.8118727067066,TRUE,TRUE,"metaphloem ERS+",7.30648196130917,5.38092851699705,5,"Unmethylated","Unmethylated","Other"
"AT1G47410",18.4745828824207,TRUE,TRUE,"protoxylem ERS+",7.17147584347431,6.89606465046279,6,"Unmethylated","Unmethylated","Other"
"AT3G55230",17.9551331379163,TRUE,TRUE,"endodermis ERS-",6.47601258759067,10.2701146547505,2,"Unmethylated","Unmethylated","Other"
"AT4G02520",17.8470906097379,TRUE,TRUE,"xpp ERS+",4.24328306616153,17.3300720772273,9,"gbM","Unmethylated","Other"
"AT3G62680",17.7462114341312,TRUE,TRUE,"hair cells ERS-",7.33657675031665,8.88622912983691,2,"Unmethylated","Unmethylated","Other"
"AT3G02120",17.6816815713838,TRUE,TRUE,"epidermis early",2.23234343257336,17.9677568312516,1,"Unmethylated","Unmethylated","Other"
"AT2G40113",17.6761068979906,TRUE,TRUE,"endodermis ERS-",7.20524739134685,13.0546757953119,2,"Unmethylated","Unmethylated","Other"
