"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.95634691384566,0.925,0.189,0,"border cells","AT5G55110"
0,4.16892675897307,0.887,0.156,0,"border cells","AT2G21610"
0,3.82489029137966,0.893,0.189,0,"border cells","AT4G27400"
0,5.32422327239052,0.871,0.205,0,"border cells","AT1G15385"
0,10.4213674408137,0.69,0.024,0,"border cells","AT1G65570"
0,3.74432393290789,0.98,0.332,0,"border cells","AT5G60530"
0,3.68195417711064,0.988,0.395,0,"border cells","AT5G54370"
0,8.89183042213395,0.599,0.008,0,"border cells","AT1G71380"
0,4.7803576643001,0.603,0.059,0,"border cells","AT4G26880"
0,5.9856495644655,0.558,0.032,0,"border cells","AT4G16260"
0,4.97301854892105,0.593,0.073,0,"border cells","AT1G68450"
0,7.04240218160446,0.498,0.017,0,"border cells","AT4G18450"
0,7.27845417086783,0.466,0.021,0,"border cells","AT2G26560"
0,4.60785125180085,0.492,0.048,0,"border cells","AT2G34790"
0,6.83717145138244,0.423,0.019,0,"border cells","AT1G48260"
0,7.93193933952439,0.181,0.005,0,"border cells","AT4G14630"
1.83644562674685e-307,3.66931208124839,0.802,0.212,4.73509140400408e-303,"border cells","AT5G20045"
3.83899023413772e-291,3.6519944574438,0.901,0.33,9.8984524197007e-287,"border cells","AT5G35735"
7.15670178510731e-281,4.44007191098689,0.538,0.089,1.84528398827207e-276,"border cells","AT1G05010"
7.01357271047049e-275,3.23170374541445,0.635,0.126,1.80837958766771e-270,"border cells","AT5G04200"
6.20868345633662e-254,2.59906944289204,0.516,0.082,1.60084694238183e-249,"border cells","AT1G26820"
9.63195957853237e-248,3.43791671506234,0.692,0.176,2.48350445772879e-243,"border cells","AT3G61930"
2.18528701730361e-237,2.94001988056861,0.778,0.242,5.63454404541564e-233,"border cells","AT3G16440"
1.34426142827047e-233,8.3458004709155,0.143,0.006,3.46604366665258e-229,"border cells","AT1G66700"
1.27568047197171e-232,5.34086423081729,0.355,0.044,3.28921452893186e-228,"border cells","AT1G75000"
1.98611952895283e-232,4.31076247358202,0.643,0.168,5.12101059345198e-228,"border cells","AT1G57990"
1.56280478670604e-230,6.90918152041665,0.107,0.003,4.02953586204286e-226,"border cells","AT4G09960"
7.57171308643746e-222,2.90998615606602,0.754,0.234,1.95229050220703e-217,"border cells","AT1G06090"
8.14818678510276e-222,2.90082628652641,0.762,0.24,2.1009284806709e-217,"border cells","AT1G50060"
1.3930959686307e-218,2.97047587541685,0.718,0.202,3.5919586455174e-214,"border cells","AT3G19430"
1.51062641266425e-218,2.45588673665228,0.962,0.579,3.89499914241349e-214,"border cells","AT3G48340"
1.176066302822e-213,2.71259757155547,0.405,0.058,3.03236935519625e-209,"border cells","AT1G11190"
1.36408729555571e-212,4.90506817905207,0.319,0.038,3.51716268286085e-208,"border cells","AT1G65690"
6.67267289094916e-210,2.72258857086919,0.948,0.708,1.72048197820233e-205,"border cells","AT1G03220"
3.64734699176306e-181,2.84786800555933,0.784,0.355,9.40431948356187e-177,"border cells","AT2G15830"
3.98610422340159e-179,2.47191368909708,0.938,0.628,1.02777711296187e-174,"border cells","AT1G52070"
6.97393365089732e-178,3.89941413719281,0.486,0.111,1.79815905254737e-173,"border cells","AT1G33280"
5.11034036994448e-167,2.07582510035963,0.964,0.836,1.31765016098648e-162,"border cells","AT1G25275"
1.55829985140536e-164,3.71150832906536,0.631,0.217,4.01792033686358e-160,"border cells","AT2G28570"
5.48469222212155e-164,2.24508118360166,0.764,0.309,1.41417304255182e-159,"border cells","AT3G03500"
5.68236190173249e-163,3.01809689000501,0.274,0.035,1.46514019274271e-158,"border cells","AT2G14095"
6.20024108290793e-162,3.00362869570203,0.716,0.301,1.59867016081698e-157,"border cells","AT5G16230"
8.5593627349447e-160,5.44722053022454,0.101,0.004,2.20694608757814e-155,"border cells","AT2G14620"
2.28047397859797e-158,2.51779175848661,0.921,0.668,5.879974106417e-154,"border cells","AT4G08555"
8.14594782438174e-157,3.64922444080313,0.524,0.144,2.10035118703859e-152,"border cells","AT1G15380"
2.14488966387575e-153,1.81134950313994,0.97,0.893,5.53038350933723e-149,"border cells","AT1G17180"
2.80175729846427e-153,3.91290458602491,0.546,0.165,7.22405101836028e-149,"border cells","AT5G03510"
1.09928008076131e-148,1.86707089046945,0.966,0.933,2.83438376023496e-144,"border cells","AT1G09070"
2.70769711314964e-148,1.68898878182398,0.982,0.926,6.98152623654504e-144,"border cells","AT1G76680"
4.56307286681386e-148,3.09050487894694,0.669,0.277,1.17654270797929e-143,"border cells","AT5G44610"
1.59174895314047e-147,2.12730047124465,0.897,0.72,4.10416550077739e-143,"border cells","AT4G17500"
2.58157391463566e-143,5.0646637507864,0.103,0.005,6.65633018149657e-139,"border cells","AT2G25125"
4.30423620163664e-140,4.14311271176136,0.256,0.036,1.10980426222999e-135,"border cells","AT1G48070"
1.52071825255973e-138,3.60781340025951,0.22,0.027,3.92101994240002e-134,"border cells","AT3G25950"
4.99058491256771e-138,6.51404127121148,0.103,0.005,1.28677241385646e-133,"border cells","AT1G02820"
1.3133385052899e-136,2.52531006470299,0.96,0.956,3.38631200203948e-132,"border cells","AT1G07590"
2.40047201085626e-136,3.7037350439608,0.651,0.286,6.18937703279178e-132,"border cells","AT1G36060"
9.65035501575271e-136,1.95916522406312,0.893,0.773,2.48824753726168e-131,"border cells","AT1G55920"
1.41053191187418e-135,1.85936718768797,0.887,0.832,3.63691548157638e-131,"border cells","AT2G45170"
2.3602700822899e-134,4.10404674241996,0.48,0.141,6.08572038017628e-130,"border cells","AT1G29290"
2.53194832410968e-134,1.765840723543,0.728,0.27,6.52837555888441e-130,"border cells","AT1G52050"
1.88480629626808e-132,1.25978745247863,0.99,0.967,4.85978455429763e-128,"border cells","AT4G05320"
5.64408248813193e-132,3.02494386858044,0.685,0.32,1.45527022873994e-127,"border cells","AT1G12780"
3.29771977832867e-131,3.28982251170092,0.609,0.243,8.50284067644265e-127,"border cells","AT5G51520"
2.23182273375916e-128,4.85597644868226,0.274,0.046,5.75453173672463e-124,"border cells","AT1G30755"
2.37912697025372e-124,2.0680410478041,0.861,0.738,6.1343409801022e-120,"border cells","AT2G29420"
3.23059758550179e-122,1.99415832521056,0.901,0.888,8.32977281445782e-118,"border cells","ATMG00020"
2.65476561080797e-120,3.27265412263565,0.567,0.222,6.84504765090726e-116,"border cells","AT2G27389"
1.67470103896528e-119,3.11375589729544,0.369,0.084,4.31804915886807e-115,"border cells","AT3G14362"
2.59262973391953e-118,2.47078331164524,0.812,0.616,6.68483650593811e-114,"border cells","AT4G15610"
1.08882208862617e-116,2.19944308832683,0.643,0.278,2.80741887331371e-112,"border cells","AT3G45010"
1.2431268512622e-114,3.33980020001938,0.347,0.077,3.20527827329445e-110,"border cells","AT1G22880"
4.47332826468766e-114,1.31652576272686,0.95,0.904,1.15340295976707e-109,"border cells","AT5G48180"
1.18250490860955e-110,2.03950318910502,0.863,0.643,3.04897065635887e-106,"border cells","AT5G43580"
1.65713328427123e-109,3.55944677027833,0.313,0.067,4.27275246016495e-105,"border cells","AT5G18470"
2.35312418467045e-109,2.6446620229854,0.724,0.416,6.06729539775429e-105,"border cells","AT2G31945"
1.09151664384045e-106,1.98390367891311,0.804,0.624,2.81436651447822e-102,"border cells","AT2G47485"
3.98451127174786e-102,2.1409868627216,0.78,0.606,1.02736638630747e-97,"border cells","AT1G74020"
9.71259089929268e-102,2.33715639591869,0.806,0.715,2.50429443747363e-97,"border cells","AT4G11360"
6.68597813957515e-101,3.50948841253295,0.179,0.024,1.72391260350806e-96,"border cells","AT1G17310"
5.97346273118262e-98,2.30568632900197,0.734,0.494,1.54019763060813e-93,"border cells","AT3G13435"
1.00904778302441e-95,2.81063013254864,0.476,0.174,2.60172880375015e-91,"border cells","AT2G37540"
1.14855039004469e-95,2.41109440376603,0.748,0.53,2.96142232569124e-91,"border cells","AT4G17490"
3.1513414335635e-95,1.76209371784811,0.712,0.357,8.12541875230012e-91,"border cells","AT1G52060"
5.08890704014878e-94,3.77740691113624,0.532,0.235,1.31212379123196e-89,"border cells","AT5G57510"
9.28851059036306e-92,1.17187212908234,0.905,0.866,2.39494957061921e-87,"border cells","AT3G06420"
6.55344469980548e-90,4.53346455886879,0.131,0.014,1.68974018139785e-85,"border cells","AT1G21130"
