"gene","is_responsive","max_celltype","max_mean","second_mean"
"AT1G01010",FALSE,"procambium ERS+",0.447565966465377,0.335629038997388
"AT1G01020",FALSE,"epidermis early",0.290069629601222,0.266309080789801
"AT1G01030",FALSE,"endodermis ERS+",0.170375142661919,0.0865836465486311
"AT1G01040",FALSE,"protoxylem early",0.147403685659402,0.143806344098194
"AT1G01050",FALSE,"hair cells early",1.61045185205977,1.36326441946038
"AT1G01060",FALSE,"endodermis ERS-",0.0309925252072347,0.0226315232155382
"AT1G01070",FALSE,"protoxylem ERS+",0.356004521268597,0.349387304473078
"AT1G01080",FALSE,"xpp ERS-",0.0360191110767611,0.0272029128679562
"AT1G01090",FALSE,"epidermis early",0.79139090424381,0.610540823511203
"AT1G01100",FALSE,"epidermis early",3.32216247307359,2.8949954925698
"AT1G01110",FALSE,"endodermis ERS+",0.25236075047734,0.116529055798636
"AT1G01120",FALSE,"endodermis ERS+",0.290293978690127,0.130247431531626
"AT1G01130",FALSE,"cortex ERS+",0.0482125470957227,0.0472716857493776
"AT1G01140",FALSE,"hair cells ERS+",1.1081017274091,0.894586377569816
"AT1G01160",FALSE,"epidermis early",0.305288306603255,0.298984383789158
"AT1G01170",FALSE,"epidermis early",0.0872466683126277,0.0629888303670692
"AT1G04013",FALSE,"cortex ERS+",0.00110647136220124,0.000850629616810283
"AT1G01180",FALSE,"metaxylem ERS-",0.20290552745028,0.133117384443223
"AT1G01200",FALSE,"ppp ERS-",0.0897618523782922,0.0622605411400711
"AT1G01210",FALSE,"epidermis early",0.245936095912272,0.13236630912525
"AT1G01220",FALSE,"hair cells early",0.0691611903872594,0.0589408266369049
"AT1G01225",FALSE,"root cap lateral",0.0443473922165865,0.0413526852402099
"AT1G01230",FALSE,"metaxylem ERS-",1.019609368433,0.929767560500613
"AT1G01240",TRUE,"protoxylem ERS+",1.05124573814714,0.517461269354319
"AT1G01260",FALSE,"root cap lateral",0.10163041823438,0.0943084515852146
"AT1G01290",FALSE,"epidermis early",0.158432921785198,0.107337485664578
"AT1G01300",FALSE,"protophloem ERS+",0.296650064171101,0.290580137465084
"AT1G01305",FALSE,"root cap early",0.00145512760265136,0.00107411553268716
"AT1G01310",FALSE,"protophloem ERS+",0.0102766847696915,0.00942281086459112
"AT1G01320",FALSE,"root cap early",0.0381401159175848,0.0315869077231271
"AT1G01340",FALSE,"protophloem ERS+",0.0722249919843959,0.0587941021429497
"AT1G01350",FALSE,"hair cells ERS+",0.502845571007361,0.42692436446283
"AT1G01355",FALSE,"ppp ERS+",0.000799550942677566,0.000612882090225229
"AT1G01360",FALSE,"endodermis ERS+",0.839245304324467,0.587048805317993
"AT1G01370",FALSE,"epidermis early",0.118304348977322,0.0832255530762551
"AT1G01380",FALSE,"metaxylem ERS+",0.354604584915262,0.181990074115879
"AT1G01430",FALSE,"metaxylem ERS+",0.170597701345749,0.149759433482843
"AT1G01440",FALSE,"procambium ERS+",0.0907481759791615,0.0847894765788901
"AT1G01448",FALSE,"procambium ERS+",0.0778430731600792,0.0545952087910037
"AT1G01453",FALSE,"hair cells ERS-",0.181761201843074,0.0289319279163371
"AT1G01460",FALSE,"hair cells ERS-",0.00453475734132421,0.00171225873683363
"AT1G01470",FALSE,"metaphloem ERS+",4.03166579935196,3.13246487580997
"AT1G01480",FALSE,"endodermis ERS-",0.142733088320421,0.0303377187505464
"AT1G01490",FALSE,"non-hair cells",1.05175712059047,0.856109094979101
"AT1G01500",FALSE,"columella",0.138270428129292,0.106234528090453
"AT1G01510",FALSE,"epidermis early",0.238913056695956,0.230883714312054
"AT1G01520",FALSE,"columella",0.005776161285307,0.00556698919455161
"AT1G01540",FALSE,"cortex ERS+",0.259485920462046,0.248509511978194
"AT1G01550",FALSE,"protoxylem ERS+",1.66814315700875,1.26149614942212
"AT1G01560",FALSE,"columella",0.0265785058200256,0.0181447871310492
"AT1G01570",FALSE,"columella",0.126587227666681,0.045184317978625
